cost,coverage
-0.0,0.0
1.0,44.0
2.0,85.0
3.0,123.0
4.0,151.0
5.0,178.0
6.0,202.0
7.0,225.0
8.0,246.0
9.0,266.0
10.0,285.0
11.0,302.0
12.0,318.0
14.0,345.0
16.0,370.0
17.0,371.0
18.0,394.0
19.0,401.0
20.0,416.0
21.0,421.0
22.0,438.0
23.0,443.0
24.0,459.0
25.0,460.0
26.0,477.0
27.0,484.0
28.0,495.0
29.0,502.0
30.0,511.0
31.0,519.0
32.0,527.0
33.0,533.0
34.0,542.0
35.0,549.0
36.0,557.0
37.0,564.0
38.0,571.0
39.0,579.0
40.0,586.0
41.0,593.0
42.0,600.0
43.0,606.0
44.0,612.0
45.0,618.0
46.0,624.0
47.0,630.0
48.0,636.0
49.0,641.0
50.0,646.0
51.0,653.0
52.0,658.0
53.0,664.0
54.0,670.0
55.0,673.0
56.0,681.0
57.0,686.0
58.0,691.0
59.0,697.0
60.0,702.0
61.0,706.0
62.0,712.0
63.0,717.0
64.0,719.0
65.0,726.0
66.0,730.0
67.0,735.0
68.0,739.0
69.0,743.0
70.0,748.0
71.0,752.0
72.0,756.0
73.0,761.0
74.0,764.0
75.0,768.0
76.0,772.0
77.0,776.0
78.0,779.0
79.0,783.0
80.0,786.0
81.0,790.0
82.0,793.0
83.0,797.0
84.0,800.0
85.0,803.0
86.0,807.0
87.0,810.0
88.0,813.0
89.0,817.0
90.0,820.0
91.0,823.0
92.0,825.0
93.0,828.0
94.0,832.0
95.0,834.0
96.0,836.0
97.0,840.0
98.0,843.0
99.0,845.0
100.0,848.0
101.0,851.0
102.0,854.0
103.0,856.0
104.0,859.0
105.0,862.0
106.0,863.0
107.0,866.0
108.0,869.0
109.0,870.0
110.0,873.0
111.0,876.0
112.0,878.0
113.0,881.0
114.0,883.0
115.0,885.0
116.0,888.0
117.0,890.0
118.0,891.0
119.0,894.0
120.0,897.0
121.0,898.0
122.0,901.0
123.0,903.0
124.0,905.0
125.0,907.0
126.0,910.0
127.0,911.0
128.0,913.0
129.0,916.0
130.0,918.0
131.0,919.0
132.0,922.0
133.0,923.0
134.0,924.0
135.0,928.0
136.0,930.0
137.0,931.0
138.0,933.0
139.0,935.0
140.0,938.0
141.0,940.0
142.0,942.0
143.0,944.0
144.0,945.0
145.0,947.0
146.0,949.0
147.0,951.0
148.0,952.0
149.0,955.0
150.0,956.0
151.0,959.0
152.0,960.0
153.0,962.0
154.0,964.0
155.0,966.0
156.0,967.0
157.0,969.0
158.0,971.0
159.0,972.0
160.0,974.0
161.0,975.0
162.0,977.0
163.0,978.0
164.0,980.0
165.0,981.0
166.0,983.0
167.0,985.0
168.0,986.0
169.0,988.0
170.0,989.0
171.0,991.0
172.0,992.0
173.0,994.0
174.0,995.0
175.0,997.0
176.0,998.0
177.0,999.0
178.0,1001.0
179.0,1002.0
180.0,1003.0
181.0,1005.0
182.0,1007.0
183.0,1008.0
184.0,1009.0
185.0,1010.0
186.0,1011.0
187.0,1013.0
188.0,1014.0
189.0,1015.0
190.0,1017.0
191.0,1018.0
192.0,1019.0
193.0,1020.0
194.0,1022.0
196.0,1024.0
197.0,1026.0
198.0,1027.0
199.0,1028.0
200.0,1029.0
201.0,1030.0
202.0,1032.0
203.0,1033.0
204.0,1034.0
205.0,1036.0
207.0,1038.0
208.0,1039.0
209.0,1040.0
210.0,1041.0
212.0,1043.0
213.0,1044.0
216.0,1046.0
217.0,1047.0
219.0,1049.0
220.0,1050.0
222.0,1053.0
225.0,1055.0
227.0,1056.0
228.0,1058.0
229.0,1059.0
231.0,1061.0
233.0,1063.0
235.0,1065.0
237.0,1067.0
238.0,1068.0
240.0,1069.0
241.0,1070.0
242.0,1071.0
244.0,1073.0
246.0,1074.0
247.0,1076.0
249.0,1077.0
251.0,1078.0
252.0,1079.0
253.0,1080.0
254.0,1081.0
255.0,1082.0
257.0,1084.0
259.0,1085.0
260.0,1086.0
262.0,1087.0
265.0,1088.0
266.0,1089.0
267.0,1091.0
271.0,1093.0
272.0,1094.0
273.0,1096.0
277.0,1098.0
278.0,1099.0
283.0,1101.0
285.0,1103.0
288.0,1104.0
289.0,1105.0
292.0,1107.0
295.0,1108.0
297.0,1109.0
299.0,1111.0
302.0,1112.0
304.0,1113.0
306.0,1115.0
308.0,1116.0
313.0,1118.0
315.0,1119.0
318.0,1121.0
322.0,1123.0
325.0,1124.0
327.0,1125.0
331.0,1126.0
335.0,1127.0
339.0,1129.0
344.0,1130.0
345.0,1131.0
348.0,1132.0
350.0,1133.0
352.0,1134.0
356.0,1135.0
358.0,1136.0
360.0,1137.0
365.0,1139.0
369.0,1140.0
373.0,1141.0
379.0,1142.0
384.0,1145.0
392.0,1147.0
396.0,1149.0
399.0,1150.0
404.0,1151.0
405.0,1152.0
416.0,1153.0
419.0,1156.0
426.0,1157.0
430.0,1159.0
442.0,1160.0
449.0,1161.0
452.0,1162.0
460.0,1164.0
464.0,1165.0
477.0,1166.0
478.0,1167.0
484.0,1168.0
487.0,1169.0
492.0,1170.0
495.0,1172.0
503.0,1173.0
505.0,1174.0
510.0,1175.0
524.0,1176.0
530.0,1178.0
539.0,1180.0
557.0,1181.0
563.0,1182.0
580.0,1183.0
588.0,1184.0
604.0,1185.0
605.0,1186.0
611.0,1187.0
622.0,1188.0
635.0,1190.0
645.0,1191.0
648.0,1192.0
676.0,1193.0
697.0,1194.0
721.0,1195.0
739.0,1196.0
827.0,1198.0
840.0,1199.0
882.0,1200.0
