4130 189;
110011111111111000111111111111101111111111111101110111111111000000001110000001100000000000000000011111100111100000000000001100000010000000000011111111111111111000001100000000100000011111111;197321
110011111111111000111111111110000011111111111101100000000000000000000000000000000000000000000000011111100111100000000000000000000000000000000011111011111111111000000000000000000000011111111;194337
110011011111111000111111111100000011111111111101100000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000011111011111011001000000000000000000000000000000;189533
110011111111111000111111111111101111111111111101110111111111000000001111111001100000000000000000011111100111100000000000001100001000000001101011111111111111111000001100000010000110011111111;198403
110011111111111000111111111111101111111111111101110111111111000000000001111001100000000000000000011111100111100000000000000000000000000001101011111111111111111000001100000000000110011111111;198161
110011111111111000111111111111101111111111111101110111111111000000000001111001100000000000000000011111100111100000000000000000000000000001110011111111111111111000001100000000011000011111111;197612
110011111111111000111111111110000011111111111101110100000011000000001110000001100000000000000000011111100111100000000000001100000001000000000011111111111111111000000000000000000001011111111;195296
110011111111111000111111111111101111111111111101110111111111000000000001111001100000000000000000011111100111100000000000000000000000000001101011111111111111111000001100000000000110011111111;197798
110011111111111000111111111110000011111111111101110100000011000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000000000000000000000011111111;194487
110011111111111000111111111111101111111111111101111100000011000000000000000001101100000000011111111111100111111100000000000000000000000000000011111111111111111000000011000000000000011111111;195974
110011111111111000111111111111101111111111111101110111111111000000000001111001100000000000000000011111100111100000000000000000000000000001101011111111111111111000001100000000000110011111111;199136
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;196091
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;196479
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;197476
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;196250
110011111111111000111111111111101111111111111101110111111111000000000001111001100000000000000000011111100111100000000000000000000000000001110011111111111111111000001100000000011000011111111;198664
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;198633
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;196719
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;196506
110011111111111000111111111111101111111111111101110111111111000000001110000001100000000000000000011111100111100000000000001110000000000000000011111111111111111000001100100000000000011111111;196798
110011111111111000111111111111101111111111111101111100000011000000001110000001101111111111100000011111100111111110000000001110000000000000000011111111111111111000000000100000000000011111111;197217
110011111111111000111111111111101111111111111101110111111111000000000000000001100000000000000000011111100111100000000000000000000000000000000011111111111111111000001100000000000000011111111;195942
110011111111111000111111111111101111111111111101110111111111000000001111111001100000000000000000011111100111100000000000001100100000000001101011111111111111111000001100001000000110011111111;198446
110011111111111000111111111111101111111111111101110111111111111111001110000001100000000000000000011111100111111101100100001100000010000000000011111111111111111001001100000000100000011111111;197670
